sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
UT43	NODE_17_length_113654_cov_61.2	15010	species	CAG-95 sp000436115	98	87	79	0.91	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-95;s_CAG-95 sp000436115
UT43	NODE_878_length_26477_cov_53.3	2562	species	Ruminococcus flavefaciens R	17	15	9	0.72	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus flavefaciens R
UT43	NODE_2528_length_15287_cov_45.3	8807	genus	CAG-273	9	9	7	0.83	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508;g_CAG-273
UT43	NODE_5193_length_9922_cov_52.1	5469	family	CAG-508	10	10	10	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508
UT43	NODE_9185_length_6700_cov_166.9	28789	species	Planococcus sp014836985	9	8	4	0.66	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus;s_Planococcus sp014836985
UT43	NODE_13170_length_5125_cov_66.3	4021	genus	CAG-115	3	3	2	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_CAG-115
UT43	NODE_22617_length_3396_cov_40.3	299	genus	Blautia A	4	4	2	0.94	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia A
AW110A	NODE_2978_length_11000_cov_32.1	165	order	Bacteroidales	12	10	10	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales
AW110A	NODE_12391_length_4565_cov_67.7	4477	species	Arthrobacter B sp002929435	5	5	4	0.99	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter B;s_Arthrobacter B sp002929435
UT30	NODE_59_length_197707_cov_58.6	4639	species	COE1 sp001916965	177	167	101	0.64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_COE1;s_COE1 sp001916965
UT30	NODE_282_length_121689_cov_82.4	3198	species	Schaedlerella sp900066545	119	116	65	0.63	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Schaedlerella;s_Schaedlerella sp900066545
UT30	NODE_644_length_89897_cov_24.8	13831	species	Merdousia sp900545705	88	83	46	0.58	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia;s_Merdousia sp900545705
UT30	NODE_1158_length_69418_cov_97.0	2320	species	PeH17 sp000435055	76	72	54	0.82	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_PeH17;s_PeH17 sp000435055
UT30	NODE_1648_length_58434_cov_314.6	330	order	Oscillospirales	88	80	73	0.94	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
UT30	NODE_2271_length_49529_cov_1078.2	166	family	Bacteroidaceae	57	54	29	0.59	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae
AW108	NODE_1506_length_17175_cov_58.1	6531	species	CAG-510 sp000434615	17	17	10	0.59	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510 sp000434615
AW108	NODE_4270_length_8273_cov_55.3	217	species	Enterococcus B hirae	8	7	4	0.66	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus B;s_Enterococcus B hirae
AW108	NODE_13856_length_3819_cov_19.1	1479	genus	Enteromonas	4	4	4	1.0	d_Bacteria;p_Firmicutes;c_Bacilli;o_RFN20;f_CAG-826;g_Enteromonas
UT43	NODE_394_length_37826_cov_396.0	4476	genus	Arthrobacter B	47	44	32	0.78	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter B
UT43	NODE_1268_length_21951_cov_1557.3	28789	species	Planococcus sp014836985	26	24	16	0.76	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus;s_Planococcus sp014836985
UT43	NODE_3344_length_12944_cov_105.6	37705	species	Oceanobacillus rekensis	20	17	9	0.78	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales D;f_Amphibacillaceae;g_Oceanobacillus;s_Oceanobacillus rekensis
UT43	NODE_6533_length_8585_cov_42.3	83533	species	Poseidonia sp002714305	4	4	2	0.66	d_Archaea;p_Thermoplasmatota;c_Poseidoniia;o_Poseidoniales;f_Poseidoniaceae;g_Poseidonia;s_Poseidonia sp002714305
UT43	NODE_11542_length_5660_cov_67.0	37	class	Clostridia	6	6	3	0.74	d_Bacteria;p_Firmicutes A;c_Clostridia
UT43	NODE_20255_length_3679_cov_24.2	8496	genus	Planococcus	5	4	3	0.75	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus
AW110A	NODE_1308_length_16421_cov_29.2	10489	species	Ruminococcus C sp000437175	13	13	11	0.9	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus C;s_Ruminococcus C sp000437175
UT30	NODE_26465_length_9342_cov_51.3	330	order	Oscillospirales	12	11	6	0.57	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
UT30	NODE_30208_length_8295_cov_26.5	6400	species	Ventrimonas sp003478505	8	8	4	0.57	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Ventrimonas;s_Ventrimonas sp003478505
UT30	NODE_36140_length_7055_cov_36.7	0	no rank	unclassified	1	0	0	0.0	
UT30	NODE_42830_length_6027_cov_65.1	69753	species	Merdousia sp900760055	6	6	5	0.83	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia;s_Merdousia sp900760055
UT30	NODE_49860_length_5217_cov_88.6	28789	species	Planococcus sp014836985	6	6	3	0.5	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus;s_Planococcus sp014836985
UT30	NODE_60863_length_4304_cov_10.9	286	family	Lachnospiraceae	4	4	4	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_70366_length_3756_cov_14.1	15775	species	Faecousia sp900549705	7	6	4	0.99	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Faecousia;s_Faecousia sp900549705
UT30	NODE_78496_length_3390_cov_18.7	2962	species	Mediterraneibacter lactaris	7	7	6	0.99	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Mediterraneibacter;s_Mediterraneibacter lactaris
Zape1	NODE_352_length_31904_cov_67.3	2320	species	PeH17 sp000435055	38	35	27	0.92	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_PeH17;s_PeH17 sp000435055
Zape1	NODE_1947_length_15746_cov_93.9	2	superkingdom	Bacteria	14	14	13	0.92	d_Bacteria
UT30	NODE_2097_length_52054_cov_25.6	13831	species	Merdousia sp900545705	58	53	25	0.57	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia;s_Merdousia sp900545705
UT30	NODE_2788_length_44403_cov_46.6	26544	species	Peribacillus psychrosaccharolyticus	44	42	37	0.89	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-1321;g_Peribacillus;s_Peribacillus psychrosaccharolyticus
UT30	NODE_3854_length_37300_cov_123.3	7311	species	Faecalibacterium sp900539885	45	42	22	0.58	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Faecalibacterium;s_Faecalibacterium sp900539885
UT30	NODE_4737_length_32978_cov_46.5	28157	species	Marvinbryantia sp014385005	35	31	17	0.57	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Marvinbryantia;s_Marvinbryantia sp014385005
UT30	NODE_5896_length_28658_cov_49.2	321	family	Micrococcaceae	27	25	15	0.58	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae
UT30	NODE_7319_length_25031_cov_119.6	28789	species	Planococcus sp014836985	32	31	22	0.81	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus;s_Planococcus sp014836985
UT30	NODE_8606_length_22494_cov_58.1	1793	genus	Eubacterium F	22	21	13	0.73	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium F
UT30	NODE_10232_length_19872_cov_30.2	20711	species	CAG-510 sp900550475	19	18	14	0.86	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510 sp900550475
UT30	NODE_11694_length_18005_cov_59.8	1881	family	Amphibacillaceae	16	16	9	0.57	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales D;f_Amphibacillaceae
UT30	NODE_14342_length_15400_cov_137.6	2033	genus	Phascolarctobacterium A	22	21	16	0.83	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium A
UT30	NODE_5432_length_30345_cov_77.2	1048	genus	Fimenecus	41	41	23	0.83	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Fimenecus
UT30	NODE_6783_length_26185_cov_38.7	6437	genus	CAG-269	17	17	11	0.71	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508;g_CAG-269
UT30	NODE_8100_length_23378_cov_123.8	84146	species	UBA71 sp006954465	25	25	13	0.57	d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_UBA71;s_UBA71 sp006954465
UT30	NODE_9496_length_20978_cov_24.0	6566	species	Cryptobacteroides sp900546925	23	22	12	0.66	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp900546925
UT30	NODE_10981_length_18881_cov_26.1	2	superkingdom	Bacteria	16	15	15	1.0	d_Bacteria
UT30	NODE_13420_length_16223_cov_127.1	927	genus	Lachnospira	18	17	17	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira
UT30	NODE_16026_length_14164_cov_31.5	9907	species	Pseudomonas E lundensis A	20	18	7	0.57	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E;s_Pseudomonas E lundensis A
UT30	NODE_18584_length_12545_cov_128.8	15877	species	UMGS973 sp900547295	16	14	12	0.92	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Anaerovoracaceae;g_UMGS973;s_UMGS973 sp900547295
UT30	NODE_22615_length_10655_cov_19.0	2504	genus	Eubacterium R	13	13	12	0.92	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Eubacterium R
UT30	NODE_25746_length_9564_cov_13.1	15236	genus	UMGS1322	10	10	9	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_QALW01;g_UMGS1322
AW107	NODE_1180_length_14450_cov_53.9	15010	species	CAG-95 sp000436115	15	13	12	0.91	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-95;s_CAG-95 sp000436115
AW107	NODE_7110_length_5584_cov_26.5	2548	species	Phil1 sp001940855	9	8	8	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_Phil1;s_Phil1 sp001940855
AW107	NODE_16387_length_3500_cov_27.9	1631	genus	UBA1067	4	4	4	1.0	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae;o_RFP12;f_UBA1067;g_UBA1067
Zape3	NODE_393_length_39093_cov_96.4	2	superkingdom	Bacteria	8	7	5	0.83	d_Bacteria
Zape3	NODE_1777_length_15835_cov_94.0	60227	species	J108 sp003694825	3	1	1	1.0	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_Opitutaceae;g_J108;s_J108 sp003694825
Zape3	NODE_7895_length_5412_cov_28.6	7	genus	Escherichia	7	7	3	0.73	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia
Zape3	NODE_17657_length_3164_cov_25.0	4249	species	Blautia A schinkii	2	2	2	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia A;s_Blautia A schinkii
AW110A	NODE_3102_length_10764_cov_209.7	598	family	Oscillospiraceae	13	13	7	0.6	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae
AW110A	NODE_12463_length_4545_cov_20.7	2	superkingdom	Bacteria	4	4	3	0.75	d_Bacteria
UT30	NODE_64_length_191617_cov_61.0	286	family	Lachnospiraceae	171	154	106	0.74	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_684_length_87755_cov_94.1	331	family	Acutalibacteraceae	93	91	52	0.65	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae
UT30	NODE_1209_length_67908_cov_48.3	26544	species	Peribacillus psychrosaccharolyticus	81	81	53	0.75	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-1321;g_Peribacillus;s_Peribacillus psychrosaccharolyticus
UT30	NODE_1722_length_57376_cov_336.2	2548	species	Phil1 sp001940855	71	69	38	0.64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_Phil1;s_Phil1 sp001940855
UT30	NODE_2334_length_48818_cov_463.6	5912	species	Ruminococcus sp002438605	44	38	18	0.53	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp002438605
UT30	NODE_3321_length_40367_cov_21.9	37	class	Clostridia	44	41	30	0.78	d_Bacteria;p_Firmicutes A;c_Clostridia
UT30	NODE_4242_length_35340_cov_20.1	422	genus	Enterococcus D	38	37	33	0.94	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus D
UT30	NODE_5274_length_30919_cov_31.9	5469	family	CAG-508	21	18	11	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508
UT30	NODE_6505_length_26870_cov_37.6	299	genus	Blautia A	32	32	19	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia A
UT30	NODE_7723_length_24152_cov_31.6	1	no rank	root	9	7	7	1.0	-_root
UT30	NODE_9251_length_21369_cov_473.6	5912	species	Ruminococcus sp002438605	30	27	13	0.58	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp002438605
UT30	NODE_1582_length_59393_cov_92.2	3415	species	Desulfovibrio sp900556755	65	62	28	0.51	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio sp900556755
UT30	NODE_2210_length_50412_cov_330.0	2394	species	Prevotella sp002251295	52	47	32	0.79	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Prevotella;s_Prevotella sp002251295
UT30	NODE_2944_length_43268_cov_33.4	8806	species	CAG-272 sp000433515	34	31	15	0.52	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_CAG-272;g_CAG-272;s_CAG-272 sp000433515
UT30	NODE_3990_length_36649_cov_449.1	517	family	Ruminococcaceae	43	39	23	0.61	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae
UT30	NODE_4866_length_32494_cov_79.1	6968	species	Solibacillus silvestris	37	35	27	0.83	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Solibacillus;s_Solibacillus silvestris
UT30	NODE_6074_length_28132_cov_23.4	374	genus	Prevotella	38	35	29	0.82	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Prevotella
UT30	NODE_6958_length_25821_cov_21.1	10	class	Bacilli	8	8	6	0.72	d_Bacteria;p_Firmicutes;c_Bacilli
UT30	NODE_8289_length_23062_cov_28.8	13647	species	UBA644 sp900547165	29	29	21	0.74	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_UBA644;g_UBA644;s_UBA644 sp900547165
UT30	NODE_9752_length_20588_cov_426.6	838	species	UBA11524 sp000437595	28	27	16	0.86	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74;g_UBA11524;s_UBA11524 sp000437595
UT30	NODE_11138_length_18677_cov_37.9	9130	species	Faecousia sp900547405	21	21	11	0.68	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Faecousia;s_Faecousia sp900547405
UT43	NODE_8949_length_6826_cov_67.7	37	class	Clostridia	6	6	6	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia
UT43	NODE_14436_length_4782_cov_116.3	75454	species	Psychrobacillus psychrotolerans	5	5	4	0.75	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Psychrobacillus;s_Psychrobacillus psychrotolerans
AW110A	NODE_10_length_71843_cov_209.9	1624	genus	CAG-177	105	103	62	0.8	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_CAG-177
AW110A	NODE_4557_length_8664_cov_21.3	286	family	Lachnospiraceae	7	7	7	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
AW110A	NODE_18934_length_3344_cov_19.2	299	genus	Blautia A	2	2	2	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia A
UT30	NODE_141_length_151754_cov_63.7	12797	species	CAG-303 sp000437755	170	162	114	0.78	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303 sp000437755
UT30	NODE_369_length_112568_cov_47.5	1794	species	Eubacterium F sp003491505	132	127	77	0.7	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium F;s_Eubacterium F sp003491505
UT30	NODE_779_length_82045_cov_52.5	330	order	Oscillospirales	82	76	39	0.58	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
UT30	NODE_1277_length_65907_cov_37.5	599	genus	Limivicinus	72	69	33	0.51	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Limivicinus
UT30	NODE_1815_length_55812_cov_431.1	5912	species	Ruminococcus sp002438605	59	55	43	0.85	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp002438605
AW108	NODE_7_length_138743_cov_145.4	9602	genus	Hallerella	134	125	80	0.66	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales;f_Fibrobacteraceae;g_Hallerella
AW108	NODE_1266_length_19430_cov_154.6	2320	species	PeH17 sp000435055	11	11	6	0.55	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_PeH17;s_PeH17 sp000435055
AW108	NODE_3903_length_8778_cov_52.0	6531	species	CAG-510 sp000434615	12	11	7	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510 sp000434615
AW108	NODE_12378_length_4115_cov_25.0	286	family	Lachnospiraceae	5	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT43	NODE_280_length_43596_cov_375.8	166	family	Bacteroidaceae	45	44	25	0.55	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae
UT43	NODE_1108_length_23514_cov_96.9	23914	species	UBA6857 sp016292455	24	22	11	0.57	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_UBA6857;s_UBA6857 sp016292455
UT43	NODE_3077_length_13606_cov_57.9	8161	genus	UBA6857	14	13	10	0.82	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_UBA6857
UT43	NODE_6071_length_9016_cov_61.4	37	class	Clostridia	10	9	7	0.87	d_Bacteria;p_Firmicutes A;c_Clostridia
UT43	NODE_10407_length_6112_cov_71.5	16157	species	CAG-273 sp902406115	10	10	6	0.62	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508;g_CAG-273;s_CAG-273 sp902406115
UT43	NODE_18542_length_3938_cov_152.7	28789	species	Planococcus sp014836985	7	7	4	0.98	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus;s_Planococcus sp014836985
UT30	NODE_178_length_142329_cov_98.2	2504	genus	Eubacterium R	143	141	123	0.95	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Eubacterium R
UT30	NODE_484_length_101785_cov_33.3	12496	genus	RUG563	100	94	47	0.53	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74;g_RUG563
UT30	NODE_907_length_77097_cov_2007.2	12447	species	CAG-273 sp000437855	98	89	43	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508;g_CAG-273;s_CAG-273 sp000437855
UT30	NODE_1385_length_63331_cov_59.6	16661	species	CAG-632 sp002406015	58	57	43	0.82	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-632;s_CAG-632 sp002406015
UT30	NODE_1927_length_54364_cov_95.8	2	superkingdom	Bacteria	24	22	19	0.86	d_Bacteria
UT30	NODE_2628_length_45861_cov_29.6	1911	species	Lachnospira rogosae A	49	46	39	0.9	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira;s_Lachnospira rogosae A
UT30	NODE_3738_length_37960_cov_20.9	3706	species	Butyribacter sp003529475	45	41	18	0.51	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter sp003529475
UT30	NODE_4623_length_33491_cov_583.7	12531	species	Cryptobacteroides sp900544195	53	50	24	0.69	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp900544195
UT30	NODE_5669_length_29479_cov_26.7	2894	genus	KLE1615	25	24	15	0.65	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_KLE1615
UT30	NODE_7053_length_25585_cov_30.3	2	superkingdom	Bacteria	5	5	3	0.6	d_Bacteria
UT43	NODE_8035_length_7401_cov_43.4	5302	genus	Sporosarcina	6	6	3	0.51	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Sporosarcina
UT43	NODE_13442_length_5038_cov_43.8	15676	genus	CAG-710	5	5	4	0.8	d_Bacteria;p_Firmicutes;c_Bacilli;o_RF39;f_UBA660;g_CAG-710
UT43	NODE_24300_length_3223_cov_36.5	18511	genus	Aphodocola	5	5	5	1.0	d_Bacteria;p_Firmicutes;c_Bacilli;o_RF39;f_UBA660;g_Aphodocola
AW110A	NODE_3320_length_10402_cov_150.0	14893	genus	Cetobacterium A	12	12	12	1.0	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A
AW110A	NODE_13710_length_4244_cov_49.9	12313	species	Coprococcus A sp900548825	5	5	4	0.98	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Coprococcus A;s_Coprococcus A sp900548825
UT30	NODE_86_length_179064_cov_850.5	2153	genus	Treponema D	143	134	112	0.89	d_Bacteria;p_Spirochaetota;c_Spirochaetia;o_Treponematales;f_Treponemataceae;g_Treponema D
UT30	NODE_309_length_118399_cov_461.2	81542	species	UBA4636 sp017407325	123	122	52	0.54	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_UBA4636;s_UBA4636 sp017407325
UT30	NODE_675_length_88093_cov_221.3	927	genus	Lachnospira	81	71	52	0.79	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira
UT30	NODE_1195_length_68219_cov_82.7	83594	genus	UBA71	71	68	55	0.84	d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_UBA71
UT30	NODE_1685_length_57792_cov_37.4	28955	species	Merdousia sp002405555	51	48	26	0.61	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia;s_Merdousia sp002405555
Zape2	NODE_14055_length_3458_cov_15.6	18115	species	HGM13222 sp900757485	5	5	4	0.76	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_HGM13222;s_HGM13222 sp900757485
AW107	NODE_920_length_16199_cov_120.2	8247	species	CAG-95 sp000438155	8	8	4	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-95;s_CAG-95 sp000438155
AW107	NODE_6463_length_5883_cov_27.6	2	superkingdom	Bacteria	3	1	1	1.0	d_Bacteria
AW107	NODE_15316_length_3634_cov_11.3	24	class	Actinomycetia	3	2	1	0.5	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
Zape3	NODE_241_length_49982_cov_99.0	2	superkingdom	Bacteria	19	19	14	0.71	d_Bacteria
Zape3	NODE_1348_length_18870_cov_68.6	7115	species	CAG-45 sp000438375	23	20	14	0.82	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-45;s_CAG-45 sp000438375
Zape3	NODE_6946_length_5903_cov_31.1	13943	species	Glutamicibacter sp002979865	8	8	4	0.65	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Glutamicibacter;s_Glutamicibacter sp002979865
Zape3	NODE_15829_length_3399_cov_22.3	47897	species	RGIG9115 sp017935675	6	6	4	0.97	d_Bacteria;p_Firmicutes A;c_Clostridia;o_UBA1381;f_UBA1381;g_RGIG9115;s_RGIG9115 sp017935675
